ID,Name,User,TimeStamp,DateTime,NetworkGen,NetworkType,Active,MCC,MNC,LAC,CID,PSC,Power,session_id,race_id
,ServiceLog,natalie,1445533464626,22.10.2015 20:04:24,2G,GPRS,1,250,2,7803,15413,-1,-75,369760759,1445533055
,ServiceLog,natalie,1445533464626,22.10.2015 20:04:24,2G,GPRS,250-2-7803-15413,-1,-1,7803,15413,-1,-69,369760759,1445533055
,ServiceLog,natalie,1445533464626,22.10.2015 20:04:24,2G,GPRS,250-2-7803-15413,-1,-1,7803,14176,-1,-87,369760759,1445533055
,ServiceLog,natalie,1445533465651,22.10.2015 20:04:25,2G,GPRS,1,250,2,7803,15413,-1,-75,369760759,1445533055
,ServiceLog,natalie,1445533465651,22.10.2015 20:04:25,2G,GPRS,250-2-7803-15413,-1,-1,7803,15413,-1,-69,369760759,1445533055
,ServiceLog,natalie,1445533465651,22.10.2015 20:04:25,2G,GPRS,250-2-7803-15413,-1,-1,7803,14176,-1,-85,369760759,1445533055
,ServiceLog,natalie,1445533466678,22.10.2015 20:04:26,2G,GPRS,1,250,2,7803,15413,-1,-75,369760759,1445533055
,ServiceLog,natalie,1445533466678,22.10.2015 20:04:26,2G,GPRS,250-2-7803-15413,-1,-1,7803,15413,-1,-73,369760759,1445533055
,ServiceLog,natalie,1445533466678,22.10.2015 20:04:26,2G,GPRS,250-2-7803-15413,-1,-1,7803,14176,-1,-83,369760759,1445533055
,ServiceLog,natalie,1445533467702,22.10.2015 20:04:27,2G,GPRS,1,250,2,7803,15413,-1,-75,369760759,1445533055
,ServiceLog,natalie,1445533467702,22.10.2015 20:04:27,2G,GPRS,250-2-7803-15413,-1,-1,7803,15413,-1,-73,369760759,1445533055
,ServiceLog,natalie,1445533467702,22.10.2015 20:04:27,2G,GPRS,250-2-7803-15413,-1,-1,7803,14176,-1,-83,369760759,1445533055
,ServiceLog,natalie,1445533468728,22.10.2015 20:04:28,2G,GPRS,1,250,2,7803,15413,-1,-75,369760759,1445533055
,ServiceLog,natalie,1445533468728,22.10.2015 20:04:28,2G,GPRS,250-2-7803-15413,-1,-1,7803,15413,-1,-73,369760759,1445533055
,ServiceLog,natalie,1445533468728,22.10.2015 20:04:28,2G,GPRS,250-2-7803-15413,-1,-1,7803,14176,-1,-83,369760759,1445533055
,ServiceLog,natalie,1445533469754,22.10.2015 20:04:29,2G,GPRS,1,250,2,7803,15413,-1,-75,369760759,1445533055
,ServiceLog,natalie,1445533469754,22.10.2015 20:04:29,2G,GPRS,250-2-7803-15413,-1,-1,7803,15413,-1,-73,369760759,1445533055
,ServiceLog,natalie,1445533469754,22.10.2015 20:04:29,2G,GPRS,250-2-7803-15413,-1,-1,7803,14176,-1,-83,369760759,1445533055
,ServiceLog,natalie,1445533470783,22.10.2015 20:04:30,2G,GPRS,1,250,2,7803,15413,-1,-75,369760759,1445533055
,ServiceLog,natalie,1445533470783,22.10.2015 20:04:30,2G,GPRS,250-2-7803-15413,-1,-1,7803,15413,-1,-73,369760759,1445533055
,ServiceLog,natalie,1445533470783,22.10.2015 20:04:30,2G,GPRS,250-2-7803-15413,-1,-1,7803,14176,-1,-79,369760759,1445533055
,ServiceLog,natalie,1445533471808,22.10.2015 20:04:31,2G,GPRS,1,250,2,7803,15413,-1,-75,369760759,1445533055
,ServiceLog,natalie,1445533471808,22.10.2015 20:04:31,2G,GPRS,250-2-7803-15413,-1,-1,7803,15413,-1,-73,369760759,1445533055
,ServiceLog,natalie,1445533471808,22.10.2015 20:04:31,2G,GPRS,250-2-7803-15413,-1,-1,7803,14176,-1,-79,369760759,1445533055
,ServiceLog,natalie,1445533472837,22.10.2015 20:04:32,2G,GPRS,1,250,2,7803,15413,-1,-75,369760759,1445533055
,ServiceLog,natalie,1445533472837,22.10.2015 20:04:32,2G,GPRS,250-2-7803-15413,-1,-1,7803,15413,-1,-73,369760759,1445533055
,ServiceLog,natalie,1445533472837,22.10.2015 20:04:32,2G,GPRS,250-2-7803-15413,-1,-1,7803,14176,-1,-79,369760759,1445533055
,ServiceLog,natalie,1445533473862,22.10.2015 20:04:33,2G,GPRS,1,250,2,7803,15413,-1,-75,369760759,1445533055
,ServiceLog,natalie,1445533473862,22.10.2015 20:04:33,2G,GPRS,250-2-7803-15413,-1,-1,7803,15413,-1,-73,369760759,1445533055
,ServiceLog,natalie,1445533473862,22.10.2015 20:04:33,2G,GPRS,250-2-7803-15413,-1,-1,7803,14176,-1,-79,369760759,1445533055
,ServiceLog,natalie,1445533474891,22.10.2015 20:04:34,2G,GPRS,1,250,2,7803,15413,-1,-75,369760759,1445533055
,ServiceLog,natalie,1445533474891,22.10.2015 20:04:34,2G,GPRS,250-2-7803-15413,-1,-1,7803,15413,-1,-73,369760759,1445533055
,ServiceLog,natalie,1445533474891,22.10.2015 20:04:34,2G,GPRS,250-2-7803-15413,-1,-1,7803,14176,-1,-79,369760759,1445533055
,ServiceLog,natalie,1445533475920,22.10.2015 20:04:35,2G,GPRS,1,250,2,7803,15413,-1,-75,369760759,1445533055
,ServiceLog,natalie,1445533475920,22.10.2015 20:04:35,2G,GPRS,250-2-7803-15413,-1,-1,7803,15413,-1,-73,369760759,1445533055
,ServiceLog,natalie,1445533475920,22.10.2015 20:04:35,2G,GPRS,250-2-7803-15413,-1,-1,7803,14176,-1,-79,369760759,1445533055
,ServiceLog,natalie,1445533476944,22.10.2015 20:04:36,2G,GPRS,1,250,2,7803,15413,-1,-75,369760759,1445533055
