Active,CID,ID,LAC,MCC,MNC,Name,NetworkGen,NetworkType,PSC,Power,TimeStamp,User,race_id,session_id
250-99-26627-57875,57866,,26627,250,99,ServiceLog,unknown,unknown,-1,-83,1435849295948,Anna,1435845964,449805108
1,57875,,26627,250,99,ServiceLog,unknown,unknown,-1,-63,1435849296959,Anna,1435845964,449805108
250-99-26627-57875,57866,,26627,250,99,ServiceLog,unknown,unknown,-1,-83,1435849296959,Anna,1435845964,449805108
1,57875,,26627,250,99,ServiceLog,unknown,unknown,-1,-63,1435849298043,Anna,1435845964,449805108
250-99-26627-57875,57866,,26627,250,99,ServiceLog,unknown,unknown,-1,-83,1435849298043,Anna,1435845964,449805108
1,57875,,26627,250,99,ServiceLog,unknown,unknown,-1,-63,1435849299053,Anna,1435845964,449805108
250-99-26627-57875,57866,,26627,250,99,ServiceLog,unknown,unknown,-1,-81,1435849299053,Anna,1435845964,449805108
1,57875,,26627,250,99,ServiceLog,unknown,unknown,-1,-63,1435849300282,Anna,1435845964,449805108
250-99-26627-57875,57866,,26627,250,99,ServiceLog,unknown,unknown,-1,-81,1435849300282,Anna,1435845964,449805108
1,57875,,26627,250,99,ServiceLog,unknown,unknown,-1,-79,1435849301292,Anna,1435845964,449805108
250-99-26627-57875,57866,,26627,250,99,ServiceLog,unknown,unknown,-1,-83,1435849301292,Anna,1435845964,449805108
1,57875,,26627,250,99,ServiceLog,unknown,unknown,-1,-79,1435849302371,Anna,1435845964,449805108
250-99-26627-57875,57866,,26627,250,99,ServiceLog,unknown,unknown,-1,-83,1435849302371,Anna,1435845964,449805108
1,57875,,26627,250,99,ServiceLog,unknown,unknown,-1,-71,1435849303382,Anna,1435845964,449805108
250-99-26627-57875,57866,,26627,250,99,ServiceLog,unknown,unknown,-1,-81,1435849303382,Anna,1435845964,449805108
1,57875,,26627,250,99,ServiceLog,unknown,unknown,-1,-71,1435849304469,Anna,1435845964,449805108
250-99-26627-57875,57866,,26627,250,99,ServiceLog,unknown,unknown,-1,-81,1435849304469,Anna,1435845964,449805108
1,57875,,26627,250,99,ServiceLog,unknown,unknown,-1,-69,1435849305481,Anna,1435845964,449805108
250-99-26627-57875,57866,,26627,250,99,ServiceLog,unknown,unknown,-1,-77,1435849305481,Anna,1435845964,449805108
